sample	qcpass	fittype	calib_slope	calib_slope_deg	calib_span	calib_linfit_rsquare	calib_linfit_logpval	coef_a	coef_b	coef_c	ci_a	ci_b	ci_c	rsquare	adjrsquare	rmse	f	f_logpval	truncated_genes	median	iqr	iqr_raw	q1	q25	q75	q99
LJP009_A375_24H_X1_B20:K09	1	power	2.21716	65.7233	4.21304	0.94307	6.17782	0.110985	2.02108	-2.31663	-0.74,0.96	-0.77,4.82	-16.65,12.01	0.94862	0.935775	0.72008	73.8509	5.15681	7	8.30886	11.9658	1.60526	9.30058	86.6698	1037.07	32771.4
LJP009_A375_24H_X1_B20:K10	1	power	2.03424	63.822	4.52963	0.955536	6.66313	0.0219542	2.58766	0.306023	-0.10,0.14	0.56,4.62	-5.64,6.25	0.970265	0.962831	0.547798	130.519	6.1069	6	7.95333	10.322	1.64803	11.4723	76.9073	793.838	32769.1
LJP009_A375_24H_X1_B20:K11	1	power	1.94441	62.7835	4.83631	0.952468	6.53218	0.0728683	2.12949	-0.699337	-0.33,0.48	0.08,4.18	-8.99,7.59	0.961887	0.952359	0.620178	100.952	5.67573	3	7.99681	10.8847	1.77375	11.132	73.9193	804.586	25271.4
LJP009_A375_24H_X1_B20:K12	1	power	1.96341	63.0095	4.69151	0.976382	7.90342	0.234924	1.71732	-2.31388	-0.77,1.24	0.19,3.25	-11.51,6.88	0.979865	0.974832	0.450769	194.663	6.78423	3	8.14181	12.0958	1.82679	11.3748	84.9698	1027.78	28832.2
LJP009_A375_24H_X1_B20:K13	1	power	2.06654	64.1777	4.4655	0.975301	7.81573	1.9749	1.01424	-9.94372	-8.98,12.93	-0.73,2.76	-41.11,21.22	0.975302	0.969128	0.499241	157.959	6.42938	5	8.27635	14.978	1.88968	10.3231	78.5258	1176.16	30147.8
LJP009_A375_24H_X1_B20:K14	1	power	2.01548	63.6113	4.52543	0.97347	7.67562	0.316532	1.61927	-3.23643	-1.27,1.90	-0.15,3.38	-15.54,9.06	0.975806	0.969757	0.494129	161.327	6.46514	5	8.28465	10.9329	1.70903	10.3548	91.0469	995.409	32679.6
LJP009_A375_24H_X1_B20:K15	1	power	1.87369	61.9109	4.90299	0.978039	8.04583	0.331862	1.57526	-2.83753	-1.04,1.71	0.13,3.02	-12.81,7.13	0.98045	0.975562	0.44418	200.601	6.83539	1	8.21186	10.2437	1.78565	12.8369	95.7692	981.031	17891.4
LJP009_A375_24H_X1_B20:K16	1	power	2.1221	64.7687	4.39812	0.972654	7.61629	0.629577	1.39948	-5.49186	-2.71,3.97	-0.42,3.21	-23.14,12.16	0.973667	0.967084	0.515502	147.903	6.31802	3	8.17965	14.9616	1.84234	9.81908	74.9493	1121.36	30583.4
LJP009_A375_24H_X1_B20:K17	1	power	1.88072	61.9999	4.86613	0.979527	8.18328	0.202364	1.74465	-2.12105	-0.60,1.00	0.35,3.14	-10.24,5.99	0.983247	0.979059	0.411171	234.77	7.10368	1	8.12274	8.90856	1.67947	12.5824	92.0948	820.431	12348.3
LJP009_A375_24H_X1_B20:K18	1	power	1.76906	60.5218	5.01927	0.989537	9.49688	0.476611	1.42726	-3.43449	-0.98,1.93	0.39,2.46	-11.77,4.90	0.990707	0.988384	0.306234	426.447	8.12744	1	8.34833	8.37486	1.73905	17.0458	93.8779	786.215	10357.7
LJP009_A375_24H_X1_B20:K19	1	power	1.63409	58.5349	5.50835	0.962501	6.99735	0.0269889	2.44255	1.49689	-0.07,0.13	1.05,3.83	-2.06,5.05	0.979658	0.974573	0.453082	192.64	6.76645	1	8.28978	8.32129	1.79653	16.9574	103.555	861.713	12726
LJP009_A375_24H_X1_B20:K20	1	power	1.71691	59.7817	5.24549	0.98215	8.45163	0.215887	1.69243	-1.4355	-0.52,0.95	0.49,2.90	-8.12,5.25	0.985736	0.98217	0.379409	276.421	7.383	1	8.42504	8.5736	1.79166	16.6407	106.277	911.176	13363.1
LJP009_A375_24H_X1_B20:K21	1	power	2.10457	64.585	4.47735	0.952617	6.53831	0.0670086	2.17999	-1.35391	-0.36,0.49	-0.13,4.49	-11.21,8.50	0.960991	0.951239	0.627428	98.5411	5.63535	6	8.10959	13.2062	1.75051	9.89427	79.8934	1055.09	32769.1
