sample	qcpass	fittype	calib_slope	calib_slope_deg	calib_span	calib_linfit_rsquare	calib_linfit_logpval	coef_a	coef_b	coef_c	ci_a	ci_b	ci_c	rsquare	adjrsquare	rmse	f	f_logpval	truncated_genes	median	iqr	iqr_raw	q1	q25	q75	q99
LJP009_A375_24H_X1_B20:A01	1	power	5.07	78.8423	0.363771	0.0411176	0.259751	-3.45898e+14	-18.4594	10.6881	-136959709937381424.00,136267913253937840.00	-249.95,213.03	-20.44,41.82	0.0972619	-0.128423	3.01831	0.430964	0.177753	0	10.0871	1.36687	0.239466	56.8277	888.336	1214.24	1425.61
LJP009_A375_24H_X1_B20:A02	1	power	1.82756	61.3135	4.81057	0.992954	10.2703	1.87704	0.991678	-8.3938	-3.63,7.39	0.08,1.90	-23.64,6.85	0.992955	0.991193	0.266644	563.755	8.6084	1	8.87088	9.10593	1.74426	13.4209	164.869	1501.29	15941.2
LJP009_A375_24H_X1_B20:A03	1	power	2.19402	65.4972	4.25653	0.944103	6.21379	0.0302406	2.47329	-0.896108	-0.18,0.24	-0.12,5.07	-10.25,8.46	0.95582	0.944775	0.667724	86.538	5.41908	7	8.34699	12.3671	1.60864	10.508	96.4699	1193.05	32771.4
LJP009_A375_24H_X1_B20:A04	1	power	1.8712	61.8793	4.75219	0.984054	8.67241	0.0531169	2.21098	-0.367491	-0.10,0.21	1.13,3.29	-4.41,3.67	0.991917	0.989896	0.285604	490.876	8.36975	2	8.02382	8.61532	1.66082	13.0449	88.9332	766.189	13403.7
LJP009_A375_24H_X1_B20:A05	1	power	1.6482	58.7539	5.37985	0.991203	9.83625	6.05114	0.621533	-14.9702	-12.58,24.68	-0.19,1.44	-45.39,15.45	0.992402	0.990502	0.276912	522.43	8.47712	0	8.55958	7.91268	1.81026	13.9071	127.333	1007.55	7666.9
LJP009_A375_24H_X1_B20:A06	1	power	1.74126	60.1314	5.10688	0.983411	8.59507	0.171288	1.77611	-1.25068	-0.40,0.75	0.59,2.97	-7.41,4.91	0.987427	0.984284	0.356201	314.153	7.6023	1	8.68102	8.00319	1.68748	17.3307	131.803	1054.84	11712
LJP009_A375_24H_X1_B20:A07	1	power	1.77531	60.6082	4.96281	0.989294	9.45201	0.138958	1.85279	-1.17554	-0.22,0.50	0.94,2.77	-5.69,3.34	0.993493	0.991867	0.256246	610.768	8.74661	2	8.68636	8.46661	1.69675	17.313	130.927	1108.51	10916.2
LJP009_A375_24H_X1_B20:A08	1	power	1.77912	60.6608	5.0178	0.989704	9.52837	0.361062	1.51927	-3.11957	-0.74,1.46	0.48,2.55	-10.73,4.49	0.991336	0.98917	0.2957	457.661	8.24905	0	8.61518	8.25356	1.6987	13.4916	122.966	1014.91	8392.49
LJP009_A375_24H_X1_B20:A09	1	power	1.76618	60.4818	4.98163	0.98819	9.26005	0.0929255	2.00185	-0.358628	-0.12,0.31	1.16,2.84	-3.84,3.12	0.994261	0.992826	0.240656	693	8.96469	1	8.42077	7.91249	1.66295	15.0653	113.39	897.194	12908.6
LJP009_A375_24H_X1_B20:A10	1	power	1.69124	59.4049	5.30015	0.981931	8.42781	0.0915413	1.987	-0.199457	-0.19,0.37	0.89,3.08	-4.65,4.25	0.9889	0.986125	0.334695	356.353	7.81867	1	8.64588	8.35652	1.76154	16.5836	124.027	1036.44	8699.43
LJP009_A375_24H_X1_B20:A11	1	power	1.88754	62.0858	4.83618	0.981161	8.34606	0.259573	1.65242	-2.96417	-0.80,1.32	0.23,3.07	-12.41,6.48	0.983806	0.979758	0.404258	243.006	7.16259	1	8.52379	8.73643	1.64238	13.6552	114.361	999.107	13652.1
LJP009_A375_24H_X1_B20:A12	1	power	1.69024	59.39	5.37745	0.974921	7.78581	0.103223	1.9448	-0.360015	-0.29,0.50	0.56,3.33	-6.22,5.50	0.981595	0.976993	0.430976	213.33	6.94024	2	8.63141	8.03841	1.72074	16.3146	134.845	1083.94	9225.39
LJP009_A375_24H_X1_B20:A13	1	power	1.81103	61.0937	5.002	0.978214	8.06155	0.144664	1.84715	-1.37744	-0.43,0.72	0.44,3.25	-8.48,5.73	0.98296	0.978699	0.41469	230.735	7.07407	2	8.65605	7.60912	1.57561	16.439	140.752	1071	11444.4
LJP009_A375_24H_X1_B20:A14	1	power	1.78483	60.7391	5.03104	0.982642	8.50637	0.109375	1.94284	-0.794687	-0.26,0.47	0.75,3.14	-6.16,4.57	0.988221	0.985277	0.344771	335.597	7.71561	1	8.56518	7.65396	1.60388	14.4519	132.054	1010.73	14040.7
LJP009_A375_24H_X1_B20:A15	1	power	2.04111	63.8984	4.71014	0.948089	6.35912	0.169118	1.83093	-2.79385	-0.96,1.30	-0.53,4.19	-16.72,11.14	0.952927	0.941159	0.689237	80.9744	5.30891	2	8.60783	9.29797	1.54443	9.49629	122.073	1135.04	21839.4
LJP009_A375_24H_X1_B20:A16	1	power	1.7174	59.7888	5.14059	0.98091	8.32018	0.0415033	2.28052	0.621403	-0.08,0.16	1.25,3.31	-2.65,3.89	0.991169	0.988962	0.298525	448.966	8.21602	1	8.47499	7.47989	1.6261	17.5294	127.965	957.163	10027.7
LJP009_A375_24H_X1_B20:A17	1	power	1.81296	61.1196	5.04708	0.969435	7.39823	0.0375385	2.3322	0.267115	-0.12,0.19	0.84,3.83	-4.61,5.14	0.981238	0.976547	0.435137	209.193	6.90685	1	8.42104	9.34491	1.73628	13.0238	98.7924	923.206	11932.9
LJP009_A375_24H_X1_B20:A18	1	power	1.7943	60.8682	5.1054	0.959465	6.84468	0.0412061	2.30097	0.311128	-0.16,0.25	0.46,4.14	-5.68,6.30	0.970968	0.96371	0.541278	133.78	6.1485	2	8.63421	9.10909	1.69898	14.9691	118.333	1077.91	22083.9
LJP009_A375_24H_X1_B20:A19	1	power	2.00891	63.5367	4.64122	0.961367	6.93891	0.049488	2.26581	-0.763359	-0.21,0.31	0.32,4.21	-8.27,6.74	0.971203	0.964004	0.539083	134.904	6.16262	4	8.51735	9.3212	1.55726	11.0453	113.602	1058.91	25703.8
LJP009_A375_24H_X1_B20:A20	1	power	3.19108	72.6004	2.7167	0.869629	4.54433	0.46128	1.6784	-6.99352	-6.16,7.08	-3.66,7.01	-55.77,41.78	0.871247	0.839059	1.13988	27.0673	3.56097	13	8.478	12.2613	1.12906	8.70104	105.565	1294.37	32785
LJP009_A375_24H_X1_B20:A21	1	power	1.74121	60.1306	5.21007	0.963338	7.04164	0.0304808	2.40783	0.893751	-0.10,0.16	0.82,3.99	-3.64,5.43	0.977344	0.971681	0.478157	172.557	6.5793	4	8.79115	8.2415	1.64343	16.6553	134.16	1105.68	23571.4
LJP009_A375_24H_X1_B20:A22	1	power	1.80111	60.9604	5.02049	0.978477	8.08529	0.117393	1.91445	-1.16489	-0.34,0.57	0.54,3.29	-7.73,5.40	0.983928	0.97991	0.40273	244.884	7.17575	1	8.62135	8.20574	1.6508	15.8674	123.636	1014.53	10831.2
LJP009_A375_24H_X1_B20:A23	1	power	1.82719	61.3086	4.96264	0.975593	7.83899	0.0765553	2.07949	-0.49372	-0.23,0.38	0.63,3.53	-6.35,5.37	0.982957	0.978696	0.414726	230.695	7.07377	4	8.68731	8.72484	1.65864	13.785	123.851	1080.58	21068.5
LJP009_A375_24H_X1_B20:A24	1	power	1.71907	59.813	5.13377	0.978653	8.10136	0.0250581	2.44716	0.796203	-0.05,0.10	1.36,3.53	-2.32,3.91	0.990943	0.988679	0.302317	437.671	8.17216	1	8.63515	7.9002	1.64937	17.5249	131.422	1038.26	10765.8
LJP009_A375_24H_X1_B20:B01	1	power	1.72412	59.886	4.93141	0.997469	12.2723	1.66084	1.01163	-7.34578	-1.31,4.63	0.45,1.57	-15.88,1.19	0.99747	0.996838	0.15978	1577.18	10.3877	0	8.70738	7.55271	1.69155	17.8649	145.115	1096.01	9318.63
LJP009_A375_24H_X1_B20:B02	1	power	1.81359	61.128	4.87962	0.990758	9.7397	0.476567	1.43492	-3.7109	-0.90,1.85	0.46,2.41	-11.75,4.33	0.99194	0.989924	0.285209	492.248	8.37456	1	8.78995	8.30043	1.65628	12.1526	164.645	1366.63	16346
LJP009_A375_24H_X1_B20:B03	1	power	1.98129	63.2189	4.62336	0.974285	7.73679	0.145824	1.87852	-1.98808	-0.53,0.82	0.21,3.54	-10.84,6.86	0.978909	0.973637	0.461347	185.657	6.70364	4	8.37117	9.36977	1.6155	11.2693	102.003	955.745	25441.4
LJP009_A375_24H_X1_B20:B04	1	power	2.06193	64.1275	4.48889	0.970593	7.4739	0.406912	1.53238	-4.52445	-1.88,2.69	-0.40,3.46	-20.47,11.42	0.972256	0.96532	0.529134	140.176	6.22733	6	8.25171	12.7645	1.77916	9.39049	88.9372	1135.24	32769.1
LJP009_A375_24H_X1_B20:B05	1	power	1.72921	59.9593	5.13844	0.983767	8.63751	0.148899	1.8249	-0.913392	-0.33,0.63	0.67,2.98	-6.51,4.68	0.988288	0.985361	0.343787	337.544	7.72555	1	8.65425	7.57287	1.64791	17.0348	138.516	1048.96	15055.4
LJP009_A375_24H_X1_B20:B06	1	power	1.98718	63.2873	4.6402	0.960599	6.90034	0.0168495	2.64725	0.265101	-0.07,0.10	0.77,4.52	-5.13,5.66	0.975749	0.969687	0.494701	160.945	6.46112	4	8.33312	10.2414	1.64589	11.9078	92.1956	944.212	26487.5
LJP009_A375_24H_X1_B20:B07	1	power	1.95737	62.938	4.69046	0.97632	7.89826	0.089969	2.0434	-1.26125	-0.29,0.47	0.52,3.57	-8.15,5.63	0.982708	0.978385	0.417741	227.319	7.0486	3	8.46708	8.90555	1.58129	12.3677	113.089	1007.12	21380.8
LJP009_A375_24H_X1_B20:B08	1	power	1.93574	62.6792	4.67326	0.982971	8.5438	0.384676	1.52862	-3.90341	-1.22,1.99	0.10,2.96	-15.12,7.31	0.984573	0.980716	0.394568	255.288	7.24689	1	8.34473	8.94254	1.63193	12.4503	99.9797	894.073	14225.6
