sample	qcpass	fittype	calib_slope	calib_slope_deg	calib_span	calib_linfit_rsquare	calib_linfit_logpval	coef_a	coef_b	coef_c	ci_a	ci_b	ci_c	rsquare	adjrsquare	rmse	f	f_logpval	truncated_genes	median	iqr	iqr_raw	q1	q25	q75	q99
LJP009_A375_24H_X1_B20:B09	1	power	1.98887	63.3069	4.62907	0.975664	7.84473	0.44548	1.48906	-4.44517	-1.77,2.67	-0.22,3.19	-18.79,9.90	0.977138	0.971423	0.480328	170.964	6.56356	2	8.52397	9.14103	1.59553	11.3664	115.058	1051.75	19453.7
LJP009_A375_24H_X1_B20:B10	1	power	1.99518	63.3796	4.57469	0.98485	8.77259	0.749154	1.31446	-6.09174	-2.40,3.90	-0.08,2.71	-21.19,9.01	0.985417	0.981772	0.383619	270.3	7.34466	2	8.67869	9.01448	1.58305	11.7648	124.259	1120.13	16345.3
LJP009_A375_24H_X1_B20:B11	1	power	1.92648	62.567	4.74904	0.982757	8.51938	0.433488	1.4889	-3.95338	-1.32,2.19	0.10,2.88	-15.15,7.25	0.984263	0.980329	0.39851	250.184	7.21235	2	8.56941	8.48314	1.58834	11.812	124.638	1057.32	20801.7
LJP009_A375_24H_X1_B20:B12	1	power	1.84637	61.5599	5.04084	0.964391	7.09877	0.0850456	2.05335	-0.549025	-0.31,0.48	0.35,3.75	-7.56,6.46	0.97276	0.96595	0.524304	142.845	6.25919	2	8.52455	8.45234	1.62108	13.1101	119.071	1006.43	19206.9
LJP009_A375_24H_X1_B20:B13	1	power	2.58516	68.8524	3.61601	0.872962	4.59562	0.0135368	2.90906	-0.0822437	-0.14,0.17	-1.65,7.47	-12.87,12.71	0.889063	0.861329	1.05808	32.0567	3.8197	38	8.1077	41.7461	1.98429	9.09397	64.9617	2711.9	32841.9
LJP009_A375_24H_X1_B20:B14	1	power	1.89021	62.1193	4.88784	0.97545	7.82762	0.307627	1.59719	-3.17752	-1.11,1.72	0.01,3.19	-14.37,8.02	0.977895	0.972368	0.472314	176.952	6.62201	1	8.56818	8.36284	1.60718	11.5607	119.028	995.409	13032.8
LJP009_A375_24H_X1_B20:B15	1	power	1.91207	62.3908	4.8596	0.960447	6.89277	0.0659397	2.1485	-0.665802	-0.28,0.41	0.24,4.06	-8.32,6.99	0.96938	0.961726	0.555881	126.636	6.05601	3	8.29236	9.54623	1.67891	10.9528	96.2092	918.436	21423.2
LJP009_A375_24H_X1_B20:B16	1	power	1.84445	61.535	4.91424	0.981226	8.35282	0.39854	1.50161	-3.44503	-1.25,2.05	0.08,2.92	-14.31,7.42	0.98286	0.978575	0.4159	229.371	7.06395	2	8.66432	8.61993	1.66699	14.2723	128.499	1107.65	16491.5
LJP009_A375_24H_X1_B20:B17	1	power	1.79135	60.8281	5.09915	0.975631	7.84204	0.109842	1.94623	-0.745361	-0.32,0.54	0.53,3.36	-7.05,5.56	0.981948	0.977435	0.426824	217.579	6.97387	1	8.47423	8.3861	1.68049	13.709	114.117	956.997	10655.2
LJP009_A375_24H_X1_B20:B18	1	power	1.81405	61.1342	5.03626	0.974409	7.74626	0.0967294	1.99505	-0.689088	-0.29,0.48	0.56,3.43	-6.91,5.53	0.981404	0.976755	0.4332	211.104	6.92236	2	8.59339	9.1503	1.71522	13.7755	118.751	1086.61	17443.2
LJP009_A375_24H_X1_B20:B19	1	power	1.96075	62.9781	4.64962	0.981737	8.40685	0.601296	1.38369	-5.01163	-1.97,3.17	-0.06,2.83	-18.70,8.67	0.982683	0.978354	0.418036	226.992	7.04615	2	8.53263	9.88846	1.67307	11.3043	126.537	1251.26	22719.9
LJP009_A375_24H_X1_B20:B20	1	power	1.92562	62.5565	4.76611	0.975091	7.79917	0.12895	1.90475	-1.80702	-0.44,0.70	0.34,3.47	-9.90,6.28	0.980289	0.975361	0.446007	198.928	6.82113	2	8.54845	8.46178	1.57336	11.8516	120.108	1016.33	13506.8
LJP009_A375_24H_X1_B20:B21	1	power	2.01198	63.5715	4.62332	0.970453	7.46461	0.0944119	2.02774	-1.79788	-0.38,0.57	0.22,3.84	-10.53,6.93	0.976512	0.97064	0.486858	166.302	6.51664	4	8.72454	9.47334	1.57178	10.8573	122.332	1158.89	24321.7
LJP009_A375_24H_X1_B20:B22	1	power	1.84776	61.578	4.89035	0.98537	8.84104	0.494588	1.42972	-3.91101	-1.33,2.32	0.17,2.69	-14.44,6.61	0.98656	0.9832	0.368278	293.627	7.48645	2	8.67776	8.56841	1.66162	13.8798	131.945	1130.56	20551
LJP009_A375_24H_X1_B20:B23	1	power	1.97564	63.153	4.70836	0.967822	7.2974	0.0894252	2.03736	-1.65842	-0.37,0.55	0.20,3.87	-10.36,7.05	0.974402	0.968003	0.508255	152.265	6.36721	2	8.55569	9.18484	1.59174	10.4091	110.532	1015.22	15244.7
LJP009_A375_24H_X1_B20:B24	1	power	1.66947	59.0787	5.33466	0.977632	8.00989	0.0610195	2.13736	0.52193	-0.13,0.25	1.01,3.27	-3.35,4.39	0.987435	0.984293	0.356099	314.334	7.60329	2	8.60462	7.90181	1.72443	16.9979	124.107	980.671	11812
LJP009_A375_24H_X1_B20:C01	1	power	2.28894	66.4003	3.96847	0.970496	7.46747	0.0331213	2.46144	-1.15738	-0.14,0.21	0.52,4.40	-8.36,6.04	0.97967	0.974588	0.452946	192.758	6.76749	8	8.46624	12.1493	1.53923	10.6858	96.3905	1171.07	32773.7
LJP009_A375_24H_X1_B20:C02	1	power	2.01817	63.6416	4.51152	0.978628	8.0991	0.0833501	2.08539	-1.28048	-0.25,0.42	0.63,3.54	-7.74,5.18	0.98509	0.981362	0.387906	264.271	7.30605	4	8.45721	8.7818	1.52104	11.974	116.287	1021.21	25897.2
LJP009_A375_24H_X1_B20:C03	1	power	2.11416	64.6858	4.30662	0.971723	7.55069	0.131488	1.93927	-2.33068	-0.57,0.83	0.02,3.86	-12.55,7.88	0.976183	0.970229	0.490258	163.948	6.49246	6	8.57951	10.5901	1.58391	11.4409	108.252	1146.4	32769.1
LJP009_A375_24H_X1_B20:C04	1	power	2.01239	63.5762	4.55819	0.981351	8.36593	0.372808	1.55487	-4.0452	-1.24,1.99	0.06,3.05	-15.72,7.63	0.983144	0.97893	0.41244	233.303	7.09297	4	8.71195	9.26685	1.58223	11.7001	118.911	1101.93	25138.4
LJP009_A375_24H_X1_B20:C05	1	power	1.93733	62.6984	4.76335	0.974042	7.7183	0.369992	1.5477	-3.46716	-1.40,2.14	-0.12,3.21	-15.84,8.91	0.976078	0.970098	0.491335	163.213	6.48484	3	8.59062	11.1085	1.77926	11.0623	103.566	1150.46	25349.7
LJP009_A375_24H_X1_B20:C06	1	power	2.01515	63.6075	4.61068	0.970754	7.48464	0.162228	1.84761	-2.2931	-0.65,0.97	0.06,3.63	-12.26,7.67	0.975202	0.969003	0.50025	157.306	6.42237	4	8.55933	10.827	1.68661	10.6686	99.5599	1077.94	25397
LJP009_A375_24H_X1_B20:C07	1	power	2.08145	64.3387	4.42635	0.977728	8.01827	0.26948	1.67816	-3.66965	-1.02,1.56	-0.00,3.36	-15.40,8.06	0.980244	0.975305	0.446507	198.474	6.81724	4	8.43456	10.1264	1.58855	10.9623	110.925	1123.26	24206
LJP009_A375_24H_X1_B20:C08	1	power	1.86938	61.856	4.86668	0.976701	7.93005	0.0912641	2.03393	-0.635277	-0.26,0.44	0.63,3.43	-6.52,5.25	0.983658	0.979573	0.4061	240.77	7.1468	2	8.39044	8.03133	1.57978	13.4015	112.083	900.172	17177.9
LJP009_A375_24H_X1_B20:C09	1	power	1.95399	62.8978	4.71126	0.976977	7.95334	0.206383	1.75664	-2.24277	-0.67,1.08	0.25,3.26	-11.04,6.56	0.980781	0.975976	0.4404	204.128	6.86508	4	8.47009	9.16952	1.61305	11.6866	116.705	1070.13	20256.7
LJP009_A375_24H_X1_B20:C10	1	power	1.88372	62.0378	4.77824	0.982279	8.46591	0.329158	1.58429	-2.59821	-0.92,1.58	0.25,2.92	-11.56,6.37	0.984529	0.980661	0.395138	254.54	7.24187	3	8.5519	8.59549	1.62729	13.9273	125.883	1082.02	24950.3
LJP009_A375_24H_X1_B20:C11	1	power	1.78952	60.8031	5.10329	0.970144	7.44417	0.100673	1.98405	-0.458232	-0.32,0.52	0.45,3.51	-6.90,5.99	0.977423	0.971779	0.477322	173.175	6.58537	2	8.65825	7.48606	1.56945	15.586	137.795	1031.54	14796.3
LJP009_A375_24H_X1_B20:C12	1	power	1.97132	63.1024	4.77102	0.965699	7.17214	0.308057	1.61595	-3.3112	-1.34,1.96	-0.26,3.49	-16.46,9.84	0.968437	0.960546	0.564383	122.73	6.00327	3	8.48348	9.74051	1.65585	10.6759	102.316	996.612	21880.7
LJP009_A375_24H_X1_B20:C13	1	power	2.12846	64.8347	4.28189	0.967325	7.26738	0.0647498	2.21579	-0.865756	-0.26,0.39	0.33,4.10	-8.38,6.65	0.975457	0.969321	0.49768	158.976	6.44026	7	8.3132	11.1782	1.59048	11.3641	109.503	1224.04	32771.4
LJP009_A375_24H_X1_B20:C14	1	power	2.03071	63.7825	4.50134	0.976697	7.92964	0.158666	1.86409	-2.08744	-0.54,0.86	0.27,3.46	-10.71,6.53	0.981049	0.976311	0.437319	207.071	6.88947	4	8.51844	9.33317	1.56691	11.9409	109.064	1017.91	26690.2
LJP009_A375_24H_X1_B20:C15	1	power	1.90663	62.3237	4.82812	0.970992	7.50065	0.0614036	2.18602	-0.28018	-0.19,0.31	0.67,3.70	-5.95,5.39	0.980525	0.975656	0.443325	201.391	6.84209	4	8.47985	9.07746	1.61258	12.143	120.248	1091.54	27283.6
LJP009_A375_24H_X1_B20:C16	1	power	1.71514	59.756	5.14184	0.987493	9.14787	0.156008	1.80658	-0.87965	-0.26,0.57	0.86,2.75	-5.49,3.73	0.991905	0.989881	0.285819	490.134	8.36714	1	8.58437	8.03088	1.71896	17.3495	125.994	1011.84	10993.1
LJP009_A375_24H_X1_B20:C17	1	power	1.85295	61.6452	4.93771	0.979913	8.22052	0.256455	1.65904	-2.3318	-0.74,1.26	0.29,3.03	-10.86,6.20	0.982979	0.978724	0.41445	231.007	7.07609	2	8.57034	8.02824	1.59905	13.1612	128.377	1030.64	16155
LJP009_A375_24H_X1_B20:C18	1	power	1.78421	60.7306	5.10697	0.977513	7.9995	0.127199	1.89311	-0.891325	-0.35,0.60	0.55,3.24	-7.17,5.39	0.983271	0.979089	0.41088	235.108	7.10614	1	8.53024	8.58239	1.70254	13.6301	119.052	1021.75	13356.8
LJP009_A375_24H_X1_B20:C19	1	power	2.20425	65.5977	4.20401	0.901131	5.09109	0.110636	2.0223	-2.10991	-1.00,1.23	-1.65,5.69	-20.75,16.53	0.90687	0.883588	0.969454	38.9508	4.12364	14	7.83841	16.7546	1.85027	8.59287	69.3252	1161.51	32787.3
LJP009_A375_24H_X1_B20:C20	1	power	2.75843	70.0731	3.33193	0.837801	4.11095	0.000156885	4.77836	2.16397	-0.00,0.00	-0.30,9.86	-3.80,8.13	0.889713	0.862141	1.05498	32.269	3.8299	90	8.99031	108.401	1.8698	11.0884	84.331	9141.52	32960.5
LJP009_A375_24H_X1_B20:C21	1	power	2.29222	66.4303	3.99801	0.905425	5.1787	0.00274035	3.51046	1.76911	-0.02,0.02	0.28,6.74	-3.80,7.34	0.937567	0.921958	0.793763	60.0684	4.81834	54	8.46973	55.903	2.2141	12.245	72.6146	4059.37	32878.3
LJP009_A375_24H_X1_B20:C22	1	power	1.97336	63.1264	4.59128	0.966096	7.19496	0.767656	1.30364	-5.85225	-3.83,5.37	-0.69,3.30	-27.36,15.65	0.966695	0.958369	0.579746	116.102	5.90996	6	8.41716	12.3759	1.8332	10.1035	107.299	1327.92	32769.1
LJP009_A375_24H_X1_B20:C23	1	power	2.21399	65.6925	4.09963	0.886504	4.81858	0.143978	1.94154	-2.16661	-1.46,1.75	-2.15,6.03	-23.84,19.51	0.890989	0.863736	1.04886	32.6935	3.85012	25	8.74917	24.9262	2.02998	11.2082	97.0677	2419.53	32812.3
LJP009_A375_24H_X1_B20:C24	1	power	2.0157	63.6138	4.53228	0.931732	5.82074	0.199139	1.76422	-3.06259	-1.48,1.88	-1.18,4.71	-21.79,15.67	0.935172	0.918965	0.808842	57.7018	4.75295	5	7.95544	11.7966	1.76187	9.67531	92.2237	1087.93	32062.9
LJP009_A375_24H_X1_B20:D01	1	power	2.33139	66.7841	4.12528	0.897852	5.02668	0.797111	1.34397	-8.36643	-8.39,9.98	-2.49,5.17	-55.69,38.95	0.898528	0.87316	1.01194	35.4198	3.97462	8	7.85481	13.1899	1.60231	6.40529	73.8184	973.659	32773.7
LJP009_A375_24H_X1_B20:D02	1	power	2.36353	67.067	3.90564	0.96064	6.90236	0.0608724	2.2684	-1.78761	-0.33,0.45	-0.11,4.65	-12.09,8.52	0.967909	0.959886	0.569081	120.646	5.97447	11	8.43822	14.3724	1.58065	9.81314	102.462	1472.62	32780.5
LJP009_A375_24H_X1_B20:D03	1	power	2.2872	66.3843	4.03692	0.96234	6.98894	0.121274	2.00992	-2.38057	-0.62,0.86	-0.23,4.25	-14.03,9.26	0.967594	0.959492	0.571871	119.432	5.95748	9	8.42004	13.3252	1.61205	9.72103	94.1246	1254.23	32776
LJP009_A375_24H_X1_B20:D04	1	power	2.16974	65.2557	4.2948	0.966301	7.20686	0.198958	1.80337	-3.22465	-0.95,1.35	-0.26,3.87	-16.13,9.68	0.969931	0.962414	0.550859	129.029	6.08754	5	8.63153	10.1374	1.5196	10.101	112.224	1137.66	29412.7
LJP009_A375_24H_X1_B20:D05	1	power	2.17084	65.2668	4.25501	0.966261	7.20452	0.118336	1.98167	-2.54526	-0.57,0.81	-0.10,4.07	-13.67,8.58	0.971264	0.96408	0.538516	135.197	6.16627	3	8.52518	10.0025	1.5186	10.6329	96.6938	967.178	29226.9
LJP009_A375_24H_X1_B20:D06	1	power	2.30275	66.5265	3.96142	0.980568	8.28542	1.93956	1.05351	-12.0479	-9.38,13.26	-0.78,2.89	-47.35,23.26	0.980581	0.975726	0.442689	201.981	6.84707	5	8.58126	9.84315	1.43262	9.14543	107.453	1057.68	28814.9
LJP009_A375_24H_X1_B20:D07	1	power	1.84671	61.5643	4.8429	0.981173	8.34732	0.154474	1.8476	-1.03475	-0.39,0.69	0.58,3.12	-7.20,5.13	0.985967	0.982458	0.376325	281.036	7.41136	4	8.60405	8.6606	1.64027	16.6089	135.474	1173.29	19956.6
LJP009_A375_24H_X1_B20:D08	1	power	1.8113	61.0973	5.00554	0.983381	8.59148	0.256616	1.65168	-2.10118	-0.63,1.14	0.44,2.86	-9.51,5.31	0.986408	0.98301	0.370363	290.286	7.46684	1	8.50541	7.29749	1.56485	13.3104	127.969	933.855	12162.7
LJP009_A375_24H_X1_B20:D09	1	power	2.11135	64.6563	4.36809	0.966313	7.20754	0.216541	1.76417	-3.12728	-1.04,1.47	-0.29,3.82	-16.16,9.90	0.969621	0.962026	0.553694	127.669	6.0697	5	8.40717	10.5087	1.5956	11.0131	99.5298	1045.93	28795.6
LJP009_A375_24H_X1_B20:D10	1	power	2.11067	64.6492	4.37991	0.960211	6.88109	0.126003	1.96766	-1.82512	-0.61,0.86	-0.16,4.09	-12.41,8.76	0.965863	0.957329	0.586938	113.177	5.86712	5	8.30543	10.655	1.60226	10.5202	92.9006	989.856	31265.4
LJP009_A375_24H_X1_B20:D11	1	power	1.87405	61.9154	4.84375	0.979882	8.2175	0.124967	1.90919	-1.43542	-0.35,0.60	0.55,3.27	-8.16,5.29	0.985089	0.981361	0.387919	264.252	7.30593	2	8.46139	8.03293	1.58402	12.2448	114.852	922.594	11005.3
LJP009_A375_24H_X1_B20:D12	1	power	1.90805	62.3412	4.90356	0.963307	7.03995	0.093884	2.01847	-1.20528	-0.39,0.58	0.15,3.89	-9.66,7.25	0.97039	0.962987	0.546645	131.087	6.11422	2	8.59791	8.7675	1.597	12.1409	122.072	1070.27	11769.5
LJP009_A375_24H_X1_B20:D13	1	power	1.87644	61.9457	4.89034	0.977268	7.97831	0.407494	1.50152	-3.5249	-1.36,2.18	0.01,3.00	-15.07,8.02	0.979102	0.973877	0.459235	187.406	6.71958	2	8.64105	8.67379	1.65019	12.6456	116.565	1011.06	9269.42
LJP009_A375_24H_X1_B20:D14	1	power	1.89754	62.2108	4.8563	0.979966	8.22567	0.571897	1.38818	-4.69917	-1.91,3.06	-0.07,2.85	-18.19,8.79	0.981009	0.976262	0.437776	206.63	6.88584	1	8.76997	7.89005	1.55707	11.5473	141.919	1119.75	15156.9
LJP009_A375_24H_X1_B20:D15	1	power	1.91248	62.3958	4.83151	0.977688	8.01475	0.346341	1.56598	-3.20157	-1.15,1.84	0.07,3.07	-13.97,7.57	0.979926	0.974907	0.450094	195.259	6.78944	2	8.55948	8.68465	1.61289	11.1013	123.878	1075.83	19480.8
LJP009_A375_24H_X1_B20:D16	1	power	1.76182	60.421	5.07273	0.980402	8.2688	0.0589397	2.17398	0.336622	-0.11,0.23	1.09,3.26	-3.41,4.08	0.989743	0.987179	0.321724	385.995	7.95599	1	8.36531	7.20542	1.57653	14.8556	119.303	859.63	14190.1
LJP009_A375_24H_X1_B20:D17	1	power	1.78864	60.7911	5.01507	0.979367	8.16804	0.629899	1.34048	-3.93299	-2.07,3.33	-0.11,2.79	-16.87,9.00	0.980193	0.975241	0.447086	197.949	6.81273	2	8.79899	8.54068	1.7124	16.3277	142.511	1217.14	16645.7
LJP009_A375_24H_X1_B20:D18	1	power	2.00833	63.5301	4.62851	0.96791	7.30279	0.191158	1.79085	-2.43441	-0.80,1.18	-0.05,3.63	-13.23,8.36	0.972017	0.965022	0.531408	138.945	6.21244	4	8.44614	10.1659	1.64935	10.2119	103.946	1056.71	28419.3
